1;1;Which US state is known as the "Sunshine State"?;Florida;California,Texas,New York
2;1;What is the capital of Australia?;Canberra;Sydney,Melbourne,Brisbane
3;1;Who is the author of the Harry Potter book series?;J.K. Rowling;Stephenie Meyer,Suzanne Collins,Veronica Roth
4;1;What is the world's largest ocean?;Pacific Ocean;Indian Ocean,Atlantic Ocean,Southern Ocean
5;1;Who wrote the novel "The Great Gatsby"?;F. Scott Fitzgerald;Ernest Hemingway,John Steinbeck,Harper Lee
6;1;What is the largest country in South America?;Brazil;Argentina,Colombia,Chile
7;1;Who painted the Mona Lisa?;Leonardo da Vinci;Michelangelo,Vincent van Gogh,Pablo Picasso
8;1;What is the name of the highest mountain in Africa?;Mount Kilimanjaro;Mount Everest,Mount Denali,Mount Aconcagua
9;1;Who played the character of Iron Man in the Marvel Cinematic Universe?;Robert Downey Jr.;Chris Hemsworth,Chris Evans,Tom Holland
10;1;Which planet in our solar system is known as the "Red Planet"?;Mars;Jupiter,Venus,Saturn
11;1;Who was the first person to walk on the moon?;Neil Armstrong;Buzz Aldrin,Michael Collins,Yuri Gagarin
12;1;Who is the lead singer of the rock band "Queen"?;Freddie Mercury;Mick Jagger,John Lennon,Paul McCartney
13;1;What is the smallest country in the world by land area?;Vatican City;Monaco,San Marino,Liechtenstein
14;1;Who directed the movie "The Shawshank Redemption"?;Frank Darabont;Steven Spielberg,Martin Scorsese,Quentin Tarantino
15;1;What is the name of the river that runs through Egypt?;Nile River;Amazon River,Yangtze River,Mississippi River
